,user_id,name,review_count,elite,fans,average_stars,compliments_total
75,eqS5lpxVMEzS_xaGP8NW_w,Connie,265,"2016,2017,2018,2019,20,20,2021",8,4.2,112
76,zx2NykkcJd1vdOgoS_ZhjQ,Marek,50,,0,3.75,4
77,MRQL87mqMrLgLBNYE97ahg,Brad,141,"2010,2011",8,4.2,36
78,YJ6S9R50pE0FsSDn3Z8j2g,Rebecca,111,"2008,2009,2010",7,3.74,73
79,ov9G-Mn1XGFp6m8sFEmEng,Erin,549,,55,4.05,287
80,LbPkYMGmsu4snHkY-Ri1ww,David,14,,2,4.71,4
81,3xrb0LpbaJ24Pkdyd55U8Q,Megan,54,,2,3.8,17
82,om5ZiponkpRqUNa3pVPiRg,Andrea,2811,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",1002,3.97,9415
83,K7thO1n-vZ9PFYiC7nTR2w,Yelper,1554,"2008,2011,2012,2013,2014",326,3.68,10368
84,lRTLBbMLzDrnuAdEVSLrqA,BJ,115,,2,3.77,27
85,asAdx4Q3cAMykgPgtQt6cg,Sylvester,123,,7,4.2,32
86,08VTr9hyJikxfimhk78jbg,Major,47,,1,3.77,3
87,c7XI431TnC9_AkmC-qrXvQ,Shawn,36,,2,3.91,36
88,8cRfVboGSLA_yc94mBwY-w,Nasilele,47,,3,4.38,11
89,PZE8NFD4XYMejKLFJm47bw,Britt,38,2010,10,3.85,45
90,uVtkixXCP7LXRpC1EedGpA,Paulina,77,2013,14,3.91,112
91,IVz8D3L33io-7Bp3NTo8Pw,Kat,129,,2,4.0,21
92,d9WIz0Xuh9ECkHfVmqbhIw,Jeff,324,"2010,2011,2012,2013,2014,2015",16,3.82,157
93,Y4DBgQUuecjUc7KGtWUVvA,Joanna,364,"2007,2008",56,3.89,269
94,HmN7p502YMJGkBNv5bzi1w,Paulsegal,544,,19,3.75,82
95,8m2LgacB5VeP_1Mn5ZMC4w,Alan,4,,0,2.67,1
96,MvOXPiqRr9IjqVtwC5mUNA,Jessica,111,"2012,2013",10,3.77,91
97,PrJ37Ik9DxritxGPqI9ktw,David,85,,4,3.43,13
98,dHLL7SVGJw5uM6IEp_wb4Q,Constance,538,"2010,2011,2012,2013",23,3.5,395
99,UQFE3BT1rsIYrcDvu_XVow,Mike,1560,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",122,4.17,539
100,hSMVQ7MSh6B0OgPxFQFO8g,Reena,920,"2009,2010,2011,2012,2013,2014",88,3.95,1593
101,MPQ5-SkAcPW5_uLn-7_jCw,Jocelyn,24,,2,4.16,11
102,jh-yu1Ap3TAwDS1ko6eqhg,Matt,27,,1,4.11,7
103,jVYzrVblDFSuL3GHtt8ZSA,Crystal,1030,"2009,2010,2011,2012",364,3.99,7209
104,w-zD8Ln3XZszM82AfVrspg,Robin,90,2010,5,4.11,36
105,3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2073,3.95,19289
106,bF2xmRxR_eyJ-HRs-ClOmw,Calysta,159,"2009,2010,2011",6,3.53,45
107,qqOcmpUctU-Zn_DxhgW-Vw,Camille,502,"2008,2009,2010,2011,2012,2015,2016,2017,2018,2019",55,3.55,375
108,Axd4L6VSBZ6QkHtqJAeCaw,Amanda,283,"2009,2010,2011,2012,2013,2014",41,3.62,239
109,KrIL3TIOJI-tjvU6BlcA-g,Elisabeth,141,"2011,2012",18,4.22,44
110,2mdlIKeLV04q_wcPqNvRWA,B,172,"2008,2009",8,3.03,84
111,I7YQFiIsO82eliq8nqsLfA,Michelle,885,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",50,3.84,300
112,yOwqfhtwO6q-6gzEhL1meg,Jameson,9,,3,3.2,15
113,NF7_K38Hc6G4R3hvEhT0dw,Jake,209,,5,2.91,11
114,FlhZYUEhfpfm0Ynxacftwg,Kate,94,,6,4.1,30
115,l4F2AnWqg3AibuQBN-tYcA,Andrea,12,,1,3.42,1
116,gRL9s6ENxV1qermRYDWjPQ,Moira,182,"2012,2013,2014,2015",12,3.8,250
117,0G-QF457q_0Z_jKqh6xWiA,Joi,2009,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",944,4.1,17136
118,1_pwoHx0CjDwfSAI7jRpzQ,Lauren,205,2009,27,3.64,228
119,JhBHocI4yDmi2fus7UbKRw,Shells,20,,2,3.7,2
120,DgsKBCbBqbFv6dCO_czBIg,Laura,43,,0,3.3,3
121,ACkFmmPuBT6rsJ_yxA1DaQ,Stephanie,72,,7,3.95,6
122,MCcz4FmJQaqnIv6pzeS1VQ,Maribel,483,"2010,2011,2012",41,3.27,1032
123,2aYKApNwS5gi1XS_V6qYJg,Carmen,296,"2009,2010,2012,2013,2014,2015,2016",22,3.5,49
124,6GHPzEmQNTjC7E3P9VF44w,Rachel,394,"2008,2009,2010,2011,2012,2013,2014,2015",22,3.71,181
125,xwLpDq-rYnyObtBZCD0Wgg,Ellie,191,"2017,2018,2019,20,20,2021",7,3.51,39
126,6aJNIB8yGHDiwrzyxlExRw,J.,629,,15,3.82,61
127,CxpPcC2NCCAj_eXykAFCnA,Barbara,76,"2007,2008",6,3.66,27
128,xReXrRlxECFpHSS9F5hBCQ,Jon,34,,0,4.83,2
129,GPKYStqHcKtNYVLy2PvgoQ,Nick,80,,3,4.25,31
130,sHwBXS0trP0CC_f5K_11VA,Tai,823,"2010,2011,2012,2013,2014,2015",83,3.77,2932
131,C0hNXqJZJuly7et8sSvSAQ,Michael,69,,16,3.63,300
132,IxkpteGXdi41e_WuyDxlww,Anthony,26,,0,4.19,2
133,rwamCBmlGdcdcyRoUcC4kQ,Jim,3,,0,4.67,3
134,A5UnAt6EYlDh2PPMpAHV_w,Sarah,10,,2,3.9,5
135,lNPRvk3WRgsJb-UEJ0J40g,Matty,72,2009,7,4.07,59
136,ITa3vh5ERI90G_WP4SmGUQ,Peter,3193,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2388,4.01,26588
137,582iTyqKkoHeBFPMJuQEJw,Chris,319,"2007,2008,2009,2010,2011,2012,2013,2014",29,3.88,455
138,iEONL-v4W46yliYsovCP_g,Dan,947,"2007,2008,2009,2010,2011,2012",89,3.65,1093
139,nDPpFNHBId4o5kjKLpubJg,Lizzie,39,,2,4.19,2
140,g_HiAtI7YBc9rpEhm4qvYg,Sarah,136,"2009,2010,2011,2012",9,4.2,31
141,DEbiQnC6NsTkddrOm3SF6Q,The,162,,3,2.95,44
142,2Od6rQYNvPUXQC2Go7vIqg,Catherine,986,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",21,3.63,58
143,_SmK7sPegNCXH-oYR7503A,Jen,147,,13,3.75,44
144,2q6LXB2ZR9LiAk0Ltww-Gw,Kristi,11,,0,3.45,1
145,8zkkuk8KOoNojZhTx0j5KA,Melissa,159,"2012,2013,2014",11,3.67,57
146,ZhK2xIa4f73JZfua7IP8vA,Steve,690,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",48,3.64,119
147,4iX1eeMV0VQa7SlN6UXJOw,Matthew,69,,1,3.79,21
148,Q5jOFJYhIsN8ouJ1rnsLQQ,Matthew,593,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",36,3.79,400
149,N_mkNFTiBCw2bbF_TJY9Ug,Ale,41,"2010,2011,2012,2013,2014",2,3.99,91
150,IPzVg0wE9EW2_VfJI0Uzgg,Pat,449,"2006,2007",10,3.82,52
151,P3SCIo2ExYs2-eehTNSv4Q,Noah,74,"2011,2012",8,3.72,47
152,P5bUL3Engv-2z6kKohB6qQ,Kim,9941,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",825,3.81,5881
153,VpREWOjt5Pna6OIgXI9Jcg,Tara,327,"2008,2009,2010,2011,2012,2013",101,3.78,2863
154,ukCAVNbolx0_gaAkDYZnEA,Trish,759,"2007,2008,2009,2010,2011",70,3.7,2942
155,qF1V8GyuLL5Fpv40Cyturw,Jacob,228,"2010,2011",13,3.71,119
156,clirF7pph8EPEoMtvrcj0w,Lauren,373,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",34,4.2,319
157,bQ_qlqlZRFgfRlqveB-ILg,Rachel,585,"2010,2011,2012,2013,2014",39,3.92,290
158,PadmV2GEoA6mWpQUpPh7Ig,Monica,695,"2010,2011,2012,2013,2014,2015",104,3.82,1121
159,ouODopBKF3AqfCkuQEnrDg,Danan,2108,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",134,3.57,536
160,M74ZUoNHNOcQp1jJLlt3jA,Vivian Eri,17,,0,4.24,0
161,CDjeQhhH7ZoSKBDQ5_O3ag,Dave,391,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",39,3.89,377
162,-RApyq06DMBii7ovXtQnfw,Garen,1000,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",87,3.66,132
163,XvL3WrRN0_3hw0P5tO0J1Q,Peteen,557,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",79,4.14,2192
164,bCsS9EJOBTIxRGiqixB5rw,Tiffany,46,,1,3.08,14
165,8Akq8sh1LSmJbqa6Jjxxqg,Todd,376,"2010,2011,2012,2013,2014",41,3.5,619
166,YMgZqBUAddmFErxLtCfK_w,Samantha,1985,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",186,3.65,913
167,SSp_Idg6Ge-Lb6T99kgKSA,Michael,5,,0,5.0,0
168,R67_W_HXmsO-bd872AKw8Q,Olin,651,,22,3.02,172
169,Jw4OHr6HibJeEIMfAxc1_Q,Judy,707,"2010,2013,2014,2015,2016,2017,2018",41,3.65,348
170,iaDFNFfwwVmc_v3k3_cU1A,Felicia,275,2015,17,3.45,53
171,xHzU9LKwxGHq7BNPA16gog,Bill,48,,16,3.17,20
172,gYDFiPYFCeY52vvMvvy5Pw,Jamie,193,"2010,2011,2012,2013,2014",18,4.03,211
173,0kSXMbNFo7mdwTPj4iQv9A,Archie,1022,"2009,2010",319,2.98,9275
174,HzoQKKHDq9BI37dyJAAtGA,Jim,1145,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",109,3.67,1128
175,627ihUMdDCxyXw1mOj1MVA,Jackie,366,"2009,2010,2011,2012",63,3.95,1040
176,oW2bCSJ5bIHyRnoZvkHwDg,Uncle Fishbits Aeneas,1680,,158,4.14,2114
177,8DqQqPnWLMllH2Dd0bETtQ,Chris,363,"2008,2009,2010,2011",48,3.89,1268
178,JC99U5y-KAchZIjBhf_DiQ,Vanessa,1186,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",45,3.67,154
179,1ziEzn7BoXTfOQ4YBkdz1Q,Christine,703,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",53,3.81,291
180,n0Qbz7LaA0r46x-N2gPXxQ,P,32,,0,3.6,10
181,q-kq52Hm8a5ajWJ_dUlOoA,Minji,2,,0,1.0,0
182,qA3AGHIFaNyEd1PRX3QWRg,Mell,105,"2010,2011,2012",10,3.46,98
183,cCwig3OI04K4HdOIXpnl_A,Jennifer,684,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",76,3.9,445
184,nomP8UcTgKjO6Yu2cLkr3g,Felix,5,,0,4.2,0
185,0GNqPGZNPNoTcJ1PFJrexw,Brendan,25,,1,4.28,13
186,sAb47uEcSjK3uQcylhkhPw,Deana,920,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",59,3.65,917
187,IjRVv6v8VHqZMoFhmRrXBA,john,68,,2,2.55,15
188,p1pg5NleZVUO_hcOgiNMmA,Kim,24,,2,3.69,25
189,Cy9TCWiOHFvCAl3xiC5vHg,Terry,36,,2,4.41,1
190,gjxv-7WqYy_aK1ZAUreBFg,Dailoc,62,2013,4,4.13,28
191,h8pthOnqCxV94D8-JkZXCQ,Cecilia,793,"2011,2012,2013,2014,2015,2016,2017,2018,2019",127,3.85,2600
192,NRrNQ5xHn_7Fu4ctlpKLbQ,Justin,1002,"2015,2016,2017,2018,2019,20,20,2021",51,3.49,221
193,iFreFyM8AcvM38exTtkjpA,Patrick,61,,0,3.77,19
194,Oqo_AB1BAv4mlPLOWgE-0A,Kristey,36,,1,3.29,6
195,PmWSamENF-UlNijlB_OckA,Ryan,114,,6,3.66,6
196,sxYfqtGh_5OuaRoT3d9aAg,Joshua,9,,1,4.44,5
197,lsCWo9DwJJ7tCRBHNjTsYA,Joy,60,,1,4.2,12
198,TDXV6AC5PYOZEyN9eeODfA,Stephanie,631,"2006,2007,2008",75,3.68,306
199,QKbq76KuUHLRZjWXDtbwWQ,Jess,797,"2009,2010,2011,2012,2013,2014,2015,2016,2017",77,3.93,492
200,jhuCv6dzRQ6a_kEaDvcrTA,Anna,388,"2009,2010,2011,2012,2013,2014,2015,2016",103,3.98,2863
201,13f_vtUZEmlzweL91bmVng,Michelle,1002,"2010,2011,2012,2013,2014",308,4.28,59989
202,5HGbhAzCXDngWSTckGBtuA,Jeremy,18,,1,3.89,1
203,jpY8IGiem6A7kXfPrFv0PA,Chau,17,,2,4.29,2
204,QWxW_pApmpY9iPApC8P-UQ,Kelvin,1306,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",80,3.6,739
205,Z2pXm4f-2O5ZpMUmXuYK0Q,Michelle,183,"2009,2010,2011,2014,2015",26,3.65,367
206,S8JD8I-TRR7MoWyKhmw9VQ,Bethany,45,"2008,2009,2010",7,4.02,50
207,8ZryN_S-n48g6rsa3W3QtQ,Dani,2934,"2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",412,3.39,25582
208,AW0tVcfwYZBiwtwYyaX0WA,Melissa,307,"2010,2011,2012,2013,2014,2015,2016",25,3.64,147
209,5Z0qHr3lRAy311-D-zo9uQ,charles,1,,0,4.0,0
210,C0RAAI96DJwITSFdioqqUA,Charity,152,,6,3.46,17
211,ZMGTBxvz2nfEvZDbXiH_zA,Chris,75,"2011,2012,2014",8,3.66,47
212,UVUIi0q38pAvsfuEEppe0Q,Stephen,3246,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",140,4.32,938
213,HAAdELyXWv8GPCz183SbvA,Amanda,60,,1,3.33,25
214,9_3lMnzpm8L92caFU5hH8Q,Kari,36,,5,3.82,10
215,4F3DmU8GaO_HHEbgPZ5v4g,Diane,31,,1,3.28,7
216,qYhPjTGtXE3DUJBahe85aQ,Jess,42,,2,3.6,10
217,OscdJZ1tFY5ybV4Ru5u7JA,Michael,37,,3,3.47,37
218,l1K53D1s2BjVXCFGUFYVOA,Nima,217,,247,3.5,102
219,ZQWmua4kX75pcd1QB8Nk2g,Bianca,65,,2,2.96,10
220,Fu8D01UpP5DNnaI7dP9xEw,Ivonne,228,"2009,2010,2011,2012",37,3.81,371
221,eUjJ0SDe6eBoZB7iKYifnw,Harsha,675,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",110,4.19,909
222,BvPQDTs67bcDLWfPwH9dgQ,E,625,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",83,3.99,2242
223,5-GjKjU_rYn_SMgMVSmsIw,Joyce,474,"2010,2011,2012",32,3.87,167
224,CsLsfpHlHrInwBfJmjR-zg,Corazon,321,"2008,2009,2010,2011",90,3.97,2766
225,zDBOdWtl2PsNY38IeoE5cQ,Christine,775,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",38,4.05,905
226,tXhscxwFTd-ayLTdPx_2yA,Jonah,1712,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",53,3.44,162
227,aA0WQpDdksKuDafTGzJf_A,Warren,161,"2007,2008,2009",23,3.63,108
228,VTRKrPvUgqAYUgO4HBxLQA,Marie,129,2008,10,3.77,116
229,IEpSkLU6eODCxCrWwSFiWw,Bri,13,,1,3.93,7
230,bRA9ZC-bw74iEgx0iJp1bw,Bianca,399,"2012,2013,2014,2015,2016,2017,2018",44,3.81,130
231,g1cwG-9BWx5HvlrKPIbs9w,Natasha,379,"2010,2011,2012,2013,2014,2015,2016",76,4.22,1823
232,-uybOghOlhc_UHEZvkyShQ,Brian,780,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",51,3.42,178
233,hkuwpVmoWqmmRNT6ly7eIw,LetsBeReal,22,,3,3.81,11
234,vPWjHU0ZFjy_9tEtk-8_pg,Howard,157,"2012,2013,2014,2015,2016",5,3.75,15
235,RWQDfQbHcjbF8JHrHMlFxA,Lora,92,2010,1,3.86,51
236,kjbUQDXAdUKFXqVgtvLFug,Travis,109,"2011,2012",13,3.96,131
237,yFpmlk4flcdeIx7bAorSHA,Vera,164,"2012,2013,2014",14,4.08,59
238,Z4rItwH8eQyhqkfGi9_6qg,Solomon,502,"2009,2010,2012,2013,2017,2018,2019,20,20,2021",23,3.64,267
239,eg1PcQVJ6TJMvQPCUkykaA,Kristen,22,,1,4.0,1
240,_8fmsrxFubASqYw_SAxkgA,Ashley,71,,6,3.99,27
241,zXQuFIgNgARtX6Nf5hIWIQ,Sammi,1198,"2011,2012,2013,2014,2015",34,3.81,140
242,V2mv5ZaysyAc-L9Z9RH3iw,Renae,101,,4,3.79,31
243,CItMwJUX0Dv8wwugxWVUPQ,Richie,69,,3,3.38,12
244,JOwThWdv2KZCO_u9MieR1g,Aaron,38,2008,3,4.13,55
245,baAxFn7RsH-kDu1Xebo-sQ,Dian,144,"2008,2009,2010",10,3.51,275
246,rh2Fyv5A0EBjnWxZC2RRHQ,Courtney,32,2011,4,4.22,41
247,KoqcznJYIXg19nzl286xOw,Trey,36,,4,3.81,9
248,fxqvyXlml4400BglsxRG_w,Cristina,362,"2011,2012,2013,2014,2015",38,3.65,1088
249,aIFbo8WaP6SCuOFnj_v9kA,Melody,514,,25,3.43,53
250,EiSKklI6PPHOoPLHqX1EOw,Victor,28,,4,4.86,4
251,7Na1pUcEv3oF_QTRwZ-2iw,Amanda,839,"2012,2013",66,4.18,563
252,1-gnHNzZNbn8lFwYRF_CtA,Liz,112,"2012,2013,2014",36,3.7,216
253,UJEjJgi1xpmLR4b3J8fn2Q,Ken,341,"2011,2013,2014,2015,2016,2017,2018",35,3.65,497
254,OPN-dDUBkH7uH-G8nOnskg,Sarah,537,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",33,3.85,358
255,YSE4zpIUVIl0hyHoewyeCw,Natasha,111,2012,12,4.12,85
256,O4CBAPwJQ_43KbqArpFxpQ,Elissa,99,,20,3.93,268
257,MUzkXfPS9JaMgJ907orz0g,Damon,752,"2010,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",90,4.16,712
258,W7Y3cKd50qabs646pZUKag,T,266,,12,3.67,71
259,eJZsIYlozH-aJ8GMjcZBLA,Red,13,,0,2.92,5
260,LyoBey7pYHult00lhiS02g,Cassandra,178,"2009,2010,2013,2014",25,4.03,107
261,GcWXTgLffuZ5BsuZGcl02Q,Anna,149,"2009,2010",12,3.53,68
262,4PE0tDvV9Lo8VW8kDW1SFQ,Chris,113,"2007,2008,2009",19,4.54,161
263,fdJde1TCDq0fvH-PbKiiEA,Caroline,54,,2,3.16,12
264,v9VCObZVWhOPdm1rKt8Dvg,Jonathan,258,"2011,2012,2013,2014,2015,2016,2017",40,3.87,1243
265,UpMTSX253d01OPY-3-sjEw,Dallas,408,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",56,3.85,2138
266,JITevzyEgskIJc6sgOyEgw,Kristin Marie,645,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",70,3.89,686
267,drui1iMt-TPzJiSkQp5CtA,Felicia,212,"2010,2011,2012,2013,2014,2015,2016",35,4.15,223
268,lfS2n5r2go3QuaOO7mtYwQ,Terrence,22,,2,4.65,23
